City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
3445026,Vila Velha,20,BR,1596402261,64,-20.33,-40.29,73.99,11.41
5847411,Kahului,40,US,1596402481,62,20.89,-156.47,84.2,23.04
1024696,Dondo,75,MZ,1596402482,77,-19.61,34.74,69.8,5.82
3421765,Nanortalik,59,GL,1596402482,91,60.14,-45.24,47.41,10.71
3452216,Prudentópolis,0,BR,1596402482,65,-25.21,-50.98,61.03,2.24
1529195,Shihezi,100,CN,1596402482,25,44.3,86.03,80.8,8.55
3939761,Hualmay,19,PE,1596402483,70,-11.1,-77.61,65.43,10.27
2163355,Hobart,20,AU,1596402334,70,-42.88,147.33,44.6,8.05
2110227,Butaritari,9,KI,1596402483,74,3.07,172.79,82.53,15.32
1803331,Linxia Chengguanzhen,70,CN,1596402483,69,35.6,103.21,61.92,3.44
3984997,San Quintín,0,MX,1596402484,50,30.48,-115.95,80.89,7.02
1524302,Ereymentau,0,KZ,1596402484,50,51.62,73.1,70.68,6.51
2075265,Busselton,25,AU,1596402484,98,-33.65,115.33,43.0,4.85
1496073,Orlik,100,RU,1596402484,83,52.52,99.83,49.82,1.72
1507390,Dikson,55,RU,1596402485,81,73.51,80.55,52.66,10.47
3831208,Qaanaaq,100,GL,1596402485,87,77.48,-69.36,38.55,9.64
2264923,Peniche,14,PT,1596402485,84,39.36,-9.38,66.0,11.99
2092164,Lorengau,95,PG,1596402485,80,-2.02,147.27,82.22,11.34
2446796,Bilma,47,NE,1596402486,28,18.69,12.92,94.12,10.02
1045114,Inhambane,100,MZ,1596402486,70,-23.86,35.38,67.26,8.59
2542997,Marrakesh,40,MA,1596402412,28,31.63,-8.01,95.0,9.17
3414079,Olafsvik,28,IS,1596402486,86,64.89,-23.71,47.82,17.49
3664659,Carauari,26,BR,1596402487,37,-4.88,-66.9,93.2,1.1
5882953,Aklavik,90,CA,1596402455,93,68.22,-135.01,51.8,2.24
3874787,Punta Arenas,9,CL,1596402302,70,-53.15,-70.92,42.8,14.99
5880054,Barrow,90,US,1596402245,75,71.29,-156.79,41.0,10.29
2014078,Urusha,100,RU,1596402488,83,54.05,122.9,56.79,7.74
2176639,Batemans Bay,82,AU,1596402488,93,-35.72,150.18,39.99,1.99
3374210,São Filipe,81,CV,1596402488,87,14.9,-24.5,78.57,6.8
3369157,Cape Town,0,ZA,1596402424,93,-33.93,18.42,61.0,10.29
2298890,Kumasi,41,GH,1596402270,84,6.69,-1.62,71.85,4.63
1282256,Hithadhoo,52,MV,1596402489,76,-0.6,73.08,82.96,10.49
5167350,Powell,90,US,1596402266,73,40.16,-83.08,73.0,12.75
2122090,Pevek,100,RU,1596402489,91,69.7,170.31,37.15,3.13
2018735,Nyurba,0,RU,1596402490,77,63.28,118.33,55.38,4.03
3372472,Vila Franca do Campo,20,PT,1596402490,73,37.72,-25.43,71.6,5.82
2020841,Leninskoye,100,RU,1596402490,96,47.94,132.62,59.65,15.61
3529660,Dzidzantun,14,MX,1596402490,58,21.25,-89.05,89.42,7.99
3137469,Sørland,94,NO,1596402490,67,67.67,12.69,62.6,5.82
5855927,Hilo,75,US,1596402491,58,19.73,-155.09,82.4,5.82
554318,Kalevala,91,RU,1596402491,88,65.2,31.17,50.41,3.87
1278969,Along,10,IN,1596402491,89,28.17,94.77,74.32,1.52
4907898,Rock Falls,20,US,1596402491,73,41.78,-89.69,73.4,11.27
217834,Bukama,0,CD,1596402492,29,-9.2,25.85,72.72,3.22
4470244,Havelock,1,US,1596402492,62,34.88,-76.9,90.0,14.99
2071860,Esperance,58,AU,1596402492,93,-33.87,121.9,48.2,11.41
2014369,Ulety,100,RU,1596402492,90,51.36,112.48,59.36,6.22
5282297,Bethel,40,US,1596402493,79,41.37,-73.41,84.99,11.41
3466704,Castro,0,BR,1596402493,67,-24.79,-50.01,57.24,3.74
3883457,Lebu,57,CL,1596402493,88,-37.62,-73.65,54.36,6.98
3379507,Bartica,40,GY,1596402493,52,6.4,-58.62,93.2,6.93
1643837,Gorontalo,96,ID,1596402494,89,0.54,123.06,73.58,1.5
5364271,Laguna,70,US,1596402494,36,38.42,-121.42,93.0,4.0
4328010,Houma,75,US,1596402268,66,29.6,-90.72,89.01,5.82
694715,Sednëv,14,UA,1596402495,88,51.64,31.57,55.04,2.82
964420,Port Elizabeth,0,ZA,1596402495,49,-33.92,25.57,68.0,12.75
3418910,Upernavik,93,GL,1596402495,69,72.79,-56.15,44.19,7.43
3464008,Esmeraldas,0,BR,1596402495,35,-19.76,-44.31,71.6,11.41
962367,Richards Bay,0,ZA,1596402496,74,-28.78,32.04,65.21,16.42
3372783,Ponta Delgada,20,PT,1596402427,73,37.73,-25.67,71.6,5.82
3163146,Andenes,0,NO,1596402247,87,69.31,16.12,57.2,3.36
214389,Kaniama,59,CD,1596402496,34,-7.57,24.18,70.81,4.16
2017155,Saskylakh,52,RU,1596402497,75,71.92,114.08,62.51,4.34
3366880,Hermanus,0,ZA,1596402497,95,-34.42,19.23,48.99,1.01
2641434,Northam,100,GB,1596402497,85,51.03,-4.22,60.01,4.0
3353383,Rundu,0,NA,1596402497,38,-17.93,19.77,54.84,4.81
5106841,Albany,60,US,1596402498,62,42.6,-73.97,87.01,11.39
934479,Grand Gaube,42,MU,1596402498,77,-20.01,57.66,66.0,1.99
2206939,Bluff,58,NZ,1596402498,94,-46.6,168.33,46.11,7.05
935215,Saint-Philippe,90,RE,1596402498,60,-21.36,55.77,68.0,9.17
3471451,Arraial do Cabo,2,BR,1596402498,56,-22.97,-42.03,71.6,9.17
1254367,Tirumullaivāsal,100,IN,1596402499,70,11.23,79.83,82.4,12.01
2123979,Kuril'sk,8,RU,1596402499,86,45.23,147.88,62.82,6.85
110690,Abhā,52,SA,1596402499,77,18.22,42.51,68.0,3.89
4362001,Mayo,1,US,1596402500,55,38.89,-76.51,93.2,14.99
4034551,Faanui,100,PF,1596402500,79,-16.48,-151.75,78.46,11.54
